|p_url|target|comment_author|comment
129|https://www.instagram.com/p/CXJ3P-mPO6r/|emermedica_oficial|frankcaitacoronado|['😂😂😂']
130|https://www.instagram.com/p/CW_jHaXFn5t/|emermedica_oficial|lindsaypinto|['Pésimo servicio! al momento de la toma dicen que 2 horas el resultado, luego llama uno y que son 6 horas, luego que 8 horas y llevo esperando casi 24 horas con mi mamá bien enferma y nada que se reciben los resultados. Es el colmo que para algo tan delicado como un COVID hagan esto. Escogí esta entidad por encima de otras y aun no tengo el resultado. Siento que se robaron el dinero y no realizaron la prueba porque ni factura dan']
131|https://www.instagram.com/p/CW_jHaXFn5t/|emermedica_oficial|piedadladino52|['No soy afiliada pero necesito la prueba']
132|https://www.instagram.com/p/CWq5OLvsyYd/|emermedica_oficial|yoyis3108|['A mí mamá le descuentan directamente por nómina y fui a solicitar servicio de urgencias y que la habían desafiliado el 17 de noviembre y en el desprendible de pago del 26 de noviembre aparece el descuento. Y llamo y no dan razón']
134|https://www.instagram.com/p/CWYxi3FsrXq/|emermedica_oficial|frankcaitacoronado|['Jajaajjajaja muy bueno']
138|https://www.instagram.com/p/CVYL2_ssH7A/|emermedica_oficial|miguelmurs|['Por qué cuando llamo a hacer una solicitud siempre me transfieren dónde nunca me contestan para una solución o me dejan esperando hasta que se cae la llamada? Pero la línea de afiliaciones siempre contestan. Que falta de ética!']
141|https://www.instagram.com/p/CVDv5eGNw_O/|emermedica_oficial|pediatraprolactancia|['❤️']
142|https://www.instagram.com/p/CUs2QDOssh2/|emermedica_oficial|jospao4737|['PESIMO SERVICIO.... NO AFILIACIÓN CON ESTA. EMPRESA..... LE DICEN MEDICO EN CASA Y LLEVO 5 MESES Y SOLO ME PASAN UN MEDICO POR TELEFONO... NO VAN A LA CASA, (CASO VITAL) NO SE DEJEN ENGAÑAR❗❗❗']
143|https://www.instagram.com/p/CUs2QDOssh2/|emermedica_oficial|linaherrera_dabh|['Los cazafantasmas']
144|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|mari__abril|['#emeryesy']
145|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|juan_diego_ovi252|['#EmerAna']
146|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|kevin__.x0|['#emerana']
147|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|sebas29vargash_rd_|['#EmerAna']
148|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|matt.tomato|['#EmerAna']
149|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|felipsia|['#EmerAna']
150|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|miladytm4|['#Emerana']
151|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|juanseto_11|['#EmerAna']
152|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|miguelvalencialh|['#EmerAna']
153|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|simonro07|['#EmerAna']
154|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|carolina_arango33|['#emerana']
155|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|sebas_rex|['#EmerAna']
156|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|zharijalkh|['#emerYesy']
157|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|lunasalome_16|['#emeryesy']
158|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|david.elfixerito|['#Emerana']
159|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|ricky.pater|['#EmerAna']
160|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|rolandoandresprieto_rp7|['#emeryesy']
161|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|az_726|['#EmerAna']
162|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|vale_plazas0213|['#emeryesy']
163|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|yas.typy|['#EmerAna']
164|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|bayonisss|['#EmerAna']
165|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|_isabella.chicaeme|['#EmerAna']
166|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|juan_diego_bmx_291|['#Emerana']
167|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|alejandramora00|['#EmerAna']
168|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|jmiguelcortes_|['#EmerAna']
169|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|vetopapaute|['#EmerAna']
170|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|sarasofia.pl|['#EmerYesi']
171|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|letanimo|['#EmerAna']
172|https://www.instagram.com/p/CUoGtzgMboK/|emermedica_oficial|lagossergio0|['#EmerAna']
